Strain,Genetics,THC
A.C. Diesel,Sativa-dominant,Medium
A.M.S.,Indica-dominant (60%),19%
A1 Haze,Sativa-dominant,Medium
Acapulco Gold,Sativa-dominant (70%),Medium
ACDC,Indica/sativa,1%
Ace Silver Haze,Sativa-dominant,High
Acid,Indica-dominant (60%),16-20%
Afghan Hash Plant,Indica (90-100%),Medium
Afghan Haze,Sativa-dominant,High
Afghan Kush,Indica (90-100%),17%
Afghan Kush Ryder,Indica autoflowering,22%
Afghan OG,Indica-dominant,Medium
Afghan Skunk,Indica/sativa (50/50),17%
Afghani,Indica (90-100%),Medium
Afghani 1 Autoflowering,Indica-dominant (85%) autoflowering,Medium
Afghani Gold,Indica (90-100%),High
Afgooey,Indica-dominant (70%),High
Afrodite,Sativa-dominant,Medium
Agent Orange,Indica/sativa (50/50),High
Airborne Genius,Indica-dominant,High
AK Choco Kush,Indica-dominant (80%),21%
AK Skunk Autoflowering,Indica/sativa autoflowering,18%
AK Widow 47,Indica/sativa (50/50),14-19%
AK-020,Indica/sativa (50/50),High
AK-420,Sativa-dominant,High
AK-420 Autoflowering,Sativa-dominant autoflowering,Medium
AK-47,Sativa-dominant,High
AK-48,Indica/sativa,High
AK-48 Autoflowering,Indica-dominant autoflowering,Medium
AK-OG Kush,Indica-dominant (80%),22%
Akorn,Indica-dominant,High
Alaskan Ice,Sativa-dominant (70%),High
Alchemy,Indica/sativa (50/50),21-22%
Alegria,Indica-dominant (80%),Medium
Allkush,Indica-dominant (80%),High
Alpujarreña,Indica (90-100%),17%
Amazing Haze,Sativa (90-100%),High
Amazonia,Sativa-dominant (60%),Medium
American Dream,Indica-dominant (70%),Medium
American Kush,Indica-dominant (70%),High
American Pie,Sativa-dominant (60%),20%
Amherst Sour Diesel,Sativa-dominant (80%),27%
Amnesi-K Lemon,Sativa-dominant,23-24%
Amnesia,Sativa-dominant,20-25%
Amnesia 7,Sativa-dominant,High
Amnesia Bilbo,Sativa,High
Amnesia Bilbo Autoflowering,Sativa-dominant autoflowering,Medium
Amnesia CBD,Sativa-dominant (60%),8%
Amnesia Gold,Sativa-dominant (75%),19%
Amnesia Haze,Sativa-dominant (70%),22-24%%
Amnesia Haze Autoflowering,Sativa-dominant (70%) autoflowering,17%
Amnesia Haze XL,Sativa-dominant,21%
Amnesia Haze XL Autoflowering,Sativa-dominant autoflowering,16%
Amnesia Kush,Sativa-dominant (70%),20%
Amnesia Lemon,Sativa-dominant (60%),High
Amnesia Mistery,Sativa (90-100%),21%
Amnesia Molotov,Sativa-dominant (60%),24%
Amnesia Ryder,Sativa-dominant autoflowering,Medium
Amnesia Skunk Autoflowering,Indica/sativa autoflowering,17%
Amnesia White,Sativa-dominant (70%),High
Amnesia XXL Autoflowering,Sativa-dominant autoflowering,High
AMS,Indica-dominant (60%),19-20%
Amsterdam Mist,Sativa-dominant (70%),Medium
Amur Giant Autoflowering,Sativa-dominant autoflowering,19%
Anesthesia,Indica (90-100%),Medium
Angel Heart,Sativa-dominant,Medium
Annapurna SuperAuto,Sativa-dominant (80%) autoflowering,18%
Apollo 11,Sativa-dominant,Medium
Apollo Haze,Sativa-dominant,Medium
AppleJack,Sativa-dominant,18-19%
Arjan's Haze 1,Sativa-dominant (70%),21.44%
Arjan's Ultra Haze 1,Sativa-dominant (80%),16.22%
