,Lemon Leafs,Lights Out,Berry Relaxed,Rise & Shine
Citrus,0.777452416,0,0.049520767,0.002512563
Earthy,0.37920937,0.997635934,0.055910543,1
Berry,0.007320644,0.241134752,0.440894569,0.010050251
Tropical,0.131771596,0,0.143769968,0
Lemon-Lime,0.306002928,0.002364066,0.02715655,0.015075377
Sweet,0.36749634,0.361702128,0.594249201,0.371859296
Spicy/Herbal,0.096632504,0.137115839,0.154952077,0.158291457
Pungent,0.112737921,0.24822695,0.180511182,0.236180905
Flowery,0.086383602,0.111111111,0.164536741,0.165829146
Blueberry,0.023426061,0.056737589,0.1485623,0.032663317
Pine,0.118594436,0.200945626,0.107028754,0.170854271
Woody,0.077598829,0.21749409,0.087859425,0.263819095
Diesel,0.095168375,0.087470449,0.124600639,0.163316583
Grape,0.011713031,0.040189125,0.127795527,0.027638191
Skunk,0.057101025,0.059101655,0.091054313,0.077889447
Dizzy,0.219358548,0.232855937,0.204123686,0.240545251
Dry Eyes,0.494766109,0.471633406,0.455336477,0.473547858
Sleepy,0.125992151,0.489339419,0.217976551,0.064760507
Creative,0.266620439,0.050896768,0.19549729,0.315191149
Tingly,0.072166762,0.104646894,0.087880817,0.06097522
Aroused,0.038973846,0.02702842,0.059139154,0.040833827
Anxious,0.225137074,0.147966256,0.158355412,0.19976537
Happy,0.703705991,0.635300479,0.692476547,0.739549662
Headaches,0.099368397,0.114740693,0.113317755,0.131443
Talkative,0.11255576,0.052285795,0.087878128,0.13437725
Paranoid,0.178446576,0.140233842,0.165628889,0.197031872
Hungry,0.097532624,0.210676841,0.141642875,0.108342188
Giggly,0.065060305,0.071424123,0.097188132,0.0833686
Euphoric,0.567628877,0.518059778,0.559925989,0.533273738
Dry Mouth,0.809494622,0.887356824,0.788944287,0.839241743
Focused,0.26474354,0.083143651,0.141620435,0.28145278
Uplifted,0.565671146,0.277118715,0.445283522,0.574566935
Energetic,0.314365386,0.022495738,0.16623119,0.299949279
Relaxed,0.584448658,0.94953919,0.757384423,0.599393649
Insomnia,0.223354836,0.627902446,0.337010343,0.122590844
Lack of Appetite,0.176058332,0.224785681,0.216111043,0.195152128
Eye Pressure,0.050786017,0.037600769,0.050877055,0.058889062
Headaches,0.16469615,0.139547723,0.168509809,0.195461427
Nausea,0.116436062,0.097130797,0.118666372,0.111619381
Cramps,0.031977435,0.053167774,0.058923053,0.045175375
Muscle Spasms,0.093982215,0.100918502,0.093308598,0.099995794
Stress,0.800402591,0.804414521,0.787547198,0.784948617
Inflammation,0.12750033,0.133666703,0.119294467,0.136942212
Pain,0.530039075,0.688128991,0.57497336,0.572814535
Fatigue,0.287538308,0.095047958,0.171203949,0.301522991
Depression,0.678309767,0.528402174,0.597275825,0.671475137
Sativa,31,5,15,25
Hybrid,54,38,54,60
Indica,15,57,31,15
Count,683,626,423,398
In OCS,13,11,9,4
Dispensaries,11,20,6,7
