,Strain,Rating,NumReviews,Strain_description,THC,Lean,Sweet,Strawberry,Earthy,Cheese,Sage,Honey,Rose,Tree,Violet,Coffee,Pear,Spicy/Herbal,Tropical,Pungent,Tea,Apricot,Mint,Pepper,Flowery,Ammonia,Blueberry,Berry,Chemical,Pine,Woody,Lime,Plum,Nutty,Fruit,Citrus,Orange,Mango,Diesel,Lemon,Pineapple,Apple,Grape,Menthol,Chestnut,Skunk,Grapefruit,Blue,Peach,Butter,Lavender,Tar,Tobacco,Vanilla,Eff_Focused,Med_Inflammation,Eff_Dizzy,Eff_Energetic,Eff_Dry_eyes,Med_Lack_of_appetite,Eff_Happy,Eff_Creative,Med_Muscle_spasms,Eff_Sleepy,Med_Stress,Eff_Tingly,Eff_Aroused,Eff_Anxious,Med_Nausea,Med_Fatigue,Med_Cramps,Eff_Uplifted,Eff_Headache,Eff_Talkative,Eff_Paranoid,Eff_Hungry,Eff_Giggly,Med_Depression,Eff_Relaxed,Med_Pain,Med_Seizures,Eff_Euphoric,Med_Spasticity,Med_Eye_pressure,Eff_Dry_mouth,Med_Headaches,Med_Insomnia,Rating_scaled,Num_reviews_scaled,THC_scaled
0,$100 OG,3.980555556,506,"$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.",,0.5,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.271578812,,0.575873483,0.557309337,0.658570341,,0.541390221,0.978085871,1,,,0.353582944,,,,0.551632504,,,0.078722537,,,,1,0.700700878,,0.586763899,,,1,,0.629376588,0.745138889,0.041339869,
1,'98 Aloha White Widow,4.666666667,9,"The ‘98 Aloha White Widow is an especially potent cut of White Widow that has grown in renown alongside Hawaiian legends like Maui Wowie and Kona Gold. This White Widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. Its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. This one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 Aloha White Widow is available from Pua Mana 1st Hawaiian Pakalōlō Seed Bank.",,0.57,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.680412371,,,0.711340206,0.907216495,,,,,,1,,1,,,,,,,0.618556701,,1,0.24,,,,,0.385964912,,,0.916666667,0.000735294,
2,1024,4.422222222,45,"1024 is a sativa-dominant hybrid bred in Spain by Medical Seeds Co. The breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a THC powerhouse with a sweet and spicy bouquet. Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. One specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense.",22.5,0.3,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.686098655,0.206185567,0.123444598,0.812866506,0.290341695,,1,,,,,,,0.021726249,,1,,,,,0.123444598,,,0.827167981,0.724042773,0.256215888,,0.803380476,0.172832019,,1,,,0.855555556,0.003676471,0.722222222
3,13 Dawgs,4,10,"13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.",16,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,0.333333333,0.666666667,0.285714286,,,,,0.285714286,,0.333333333,,1,0.666666667,0.285714286,0.333333333,,,1,,1,0.380952381,,,,,,1,0.666666667,,0.75,0.000816993,0.509803922
4,22,3.857142857,7,"22 is a Jack Herer cross from Cali Connection. This extremely pungent fortification of Jack Herer yields fat buds packed with cannabinoids, making them prime starting material for extractors. Its aroma is a mixture of pine and floral notes with touches of spice on the finish. 22 benefits from a slightly longer flowering time, giving way to an abundant and flavorful yield just on the other side of 10 weeks.",,0.54,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,0.673913043,,0.333333333,,0.666666667,,,,0.333333333,0.666666667,,0.695652174,,,,,,1,,,,0.52173913,,,,,,0.714285714,0.000571895,
5,24k Gold,4.581521739,184,"Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users!",21,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,0.409387755,,0.751428571,0.38989899,1,0.66869648,0.392727273,,1,,,0.241632653,,,,0.950142721,0.244897959,,,,,0.808080808,0.922169363,,,0.538915319,,,1,0.303838384,,0.895380435,0.01503268,0.673202614
6,3 Bears OG,4.428571429,7,"3 Bears OG by Mephisto Genetics is an autoflowering cross of Bear OG, Karma's OG Cut, and Triangle Kush. This indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. Mephisto Genetics describes 3 Bears OG as a cornerstone to their artisanal collection, blending the best attributes of the fabled OG Kush with a compact, controllable growth structure. The 3 Bears OG has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep.",,0.93,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094339623,1,0.838926174,0.677852349,0.5,0.677852349,1,,,,,,,,0.094339623,,,,,,1,1,,0.644295302,,,1,,0.5,0.857142857,0.000571895,
7,3 Kings,4.414239482,312,"The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings' potency. Medical patients will appreciate the versatility of this strain's medicinal effects as it relieves pain, stress, and nausea without heavy sedation.",,0.29,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.714630263,0.447902087,0.382663022,,0.236294416,,0.942923711,,,,1,,,0.599433815,0.555183229,,,0.566155809,,,0.603670441,,,0.725733784,1,0.633123219,,0.643855664,,,1,,,0.853559871,0.025490196,
8,303 OG,4.289473684,79,"The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.",21,0.6,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.268678161,,0.103225806,,0.15483871,,,0.747126437,,,0.525345622,,,0.051612903,,0.907834101,,0.981321839,,,,,,0.500768049,1,1,,0.827586207,,,1,0.944700461,,0.822368421,0.006454248,0.673202614
9,3D CBD,4.6,20,"3D CBD from Snoop Dogg's branded line of cannabis strains was crafted with patients in mind. With a THC:CBD ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. Consumers susceptible to THC-induced anxiety may also appreciate the sobering, relaxing balance CBD has to offer.",,0.34,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.276923077,0.6,,,0.5,,0.415384615,,0.6,,0.7,,,,,,,1,,0.769230769,,,,,0.507692308,1,,,,,1,,0.4,0.9,0.001633987,
