Strain,Lean,Sweet,Strawberry,Earthy,Cheese,Sage,Honey,Rose,Tree,Violet,Coffee,Pear,Spicy/Herbal,Tropical,Pungent,Tea,Apricot,Mint,Pepper,Flowery,Ammonia,Blueberry,Berry,Chemical,Pine,Woody,Lime,Plum,Nutty,Fruit,Citrus,Orange,Mango,Diesel,Lemon,Pineapple,Apple,Grape,Menthol,Chestnut,Skunk,Grapefruit,Blue,Peach,Butter,Lavender,Tar,Tobacco,Vanilla,Eff_Focused,Med_Inflammation,Eff_Dizzy,Eff_Energetic,Eff_Dry_eyes,Med_Lack_of_appetite,Eff_Happy,Eff_Creative,Med_Muscle_spasms,Eff_Sleepy,Med_Stress,Eff_Tingly,Eff_Aroused,Eff_Anxious,Med_Nausea,Med_Fatigue,Med_Cramps,Eff_Uplifted,Eff_Headache,Eff_Talkative,Eff_Paranoid,Eff_Hungry,Eff_Giggly,Med_Depression,Eff_Relaxed,Med_Pain,Med_Seizures,Eff_Euphoric,Med_Spasticity,Med_Eye_pressure,Eff_Dry_mouth,Med_Headaches,Med_Insomnia,Rating_scaled,Num_reviews_scaled,THC_scaled,Strain_type
$100 OG,0.5,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.271578811905256,,0.575873483424012,0.557309336894006,0.658570340586178,,0.541390220966058,0.9780858712831558,1.0,,,0.35358294428437603,,,,0.5516325043197691,,,0.0787225371949868,,,,1.0,0.700700877525679,,0.586763899011571,,,1.0,,0.629376587885054,0.74513888888889,0.04133986928104575,,hybrid
'98 Aloha White Widow,0.57,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.6804123711340211,,,0.711340206185567,0.9072164948453608,,,,,,1.0,,1.0,,,,,,,0.618556701030928,,1.0,0.24,,,,,0.385964912280702,,,0.9166666666666674,0.0007352941176470588,,hybrid
1024,0.3,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68609865470852,0.20618556701030905,0.123444598064389,0.8128665056916179,0.29034169464744203,,1.0,,,,,,,0.0217262492593324,,1.0,,,,,0.123444598064389,,,0.8271679805942991,0.724042773370128,0.25621588841722304,,0.803380476026216,0.17283201940569998,,1.0,,,0.8555555555555551,0.0036764705882352936,0.7222222222222223,sativa
13 Dawgs,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.33333333333333304,0.666666666666667,0.28571428571428603,,,,,0.28571428571428603,,0.33333333333333304,,1.0,0.666666666666667,0.28571428571428603,0.33333333333333304,,,1.0,,1.0,0.3809523809523809,,,,,,1.0,0.666666666666667,,0.75,0.0008169934640522875,0.5098039215686275,hybrid
22,0.54,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,0.673913043478261,,0.33333333333333304,,0.666666666666667,,,,0.33333333333333304,0.666666666666667,,0.695652173913043,,,,,,1.0,,,,0.5217391304347829,,,,,,0.714285714285715,0.0005718954248366012,,hybrid
24k Gold,0.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.409387755102041,,0.7514285714285709,0.38989898989899,1.0,0.6686964795432919,0.3927272727272729,,1.0,,,0.241632653061224,,,,0.950142721217888,0.244897959183673,,,,,0.8080808080808081,0.922169362511893,,,0.5389153187440531,,,1.0,0.30383838383838396,,0.8953804347826069,0.01503267973856209,0.673202614379085,hybrid
3 Bears OG,0.93,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0943396226415094,1.0,0.838926174496644,0.6778523489932888,0.5,0.6778523489932888,1.0,,,,,,,,0.0943396226415094,,,,,,1.0,1.0,,0.644295302013423,,,1.0,,0.5,0.8571428571428574,0.0005718954248366012,,indica
3 Kings,0.29,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.7146302627265491,0.4479020871857221,0.3826630222569311,,0.23629441624365505,,0.9429237109539641,,,,1.0,,,0.599433814916048,0.55518322895702,,,0.5661558094881279,,,0.6036704412338929,,,0.725733784211763,1.0,0.633123218536416,,0.643855664309465,,,1.0,,,0.8535598705501626,0.02549019607843137,,sativa
303 OG,0.6,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.26867816091954,,0.103225806451613,,0.154838709677419,,,0.7471264367816091,,,0.5253456221198161,,,0.0516129032258064,,0.907834101382488,,0.98132183908046,,,,,,0.5007680491551461,1.0,1.0,,0.827586206896552,,,1.0,0.944700460829493,,0.8223684210526325,0.0064542483660130715,0.673202614379085,hybrid
3D CBD,0.34,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.2769230769230769,0.6,,,0.5,,0.415384615384616,,0.6,,0.7,,,,,,,1.0,,0.7692307692307689,,,,,0.507692307692308,1.0,,,,,1.0,,0.4,0.8999999999999999,0.001633986928104575,,sativa
