Strain,Rating,NumReviews,Effmedneg,Strain_description,Flavours,Review_breakdown,THC,Lean
$100 OG,3.98055555555556,506,"['Relaxed 100', 'Sleepy 97.8085871283156', 'Happy 65.8570340586178', 'Euphoric 58.6763899011571', 'Uplifted 55.1632504319769', 'Stress 100', 'Pain 70.0700877525679', 'Insomnia 62.9376587885054', 'Lack of Appetite 55.7309336894006', 'Muscle Spasms 54.1390220966058', 'Dry Mouth 100', 'Dry Eyes 57.5873483424012', 'Anxious 35.3582944284376', 'Dizzy 27.1578811905256', 'Paranoid 7.87225371949868']","$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.","['Earthy', 'Orange', 'Flowery']","[50.2604166666667, 59.8958333333333, 30.2083333333333, 11.1979166666667, 9.11458333333333, 100.0]",,0.5
'98 Aloha White Widow,4.66666666666667,9,"['Relaxed 100', 'Creative 90.7216494845361', 'Happy 71.1340206185567', 'Energetic 68.0412371134021', 'Giggly 61.8556701030928', 'Fatigue 100', 'Pain 24', 'Anxious 100', 'Dry Mouth 38.5964912280702']","The ‘98 Aloha White Widow is an especially potent cut of White Widow that has grown in renown alongside Hawaiian legends like Maui Wowie and Kona Gold. This White Widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. Its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. This one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 Aloha White Widow is available from Pua Mana 1st Hawaiian Pakalōlō Seed Bank.","['Diesel', 'Flowery', 'Spicy/Herbal']","[100.0, 27.9683377308707, 0.0, 0.0, 3.95778364116095, 0.0]",,0.57
1024,4.42222222222222,45,"['Happy 100', 'Energetic 81.2866505691618', 'Euphoric 80.3380476026216', 'Relaxed 72.4042773370128', 'Focused 68.609865470852', 'Fatigue 100', 'Depression 82.7167980594299', 'Pain 25.6215888417223', 'Inflammation 20.6185567010309', 'Spasticity 17.28320194057', 'Dry Mouth 100', 'Dry Eyes 29.0341694647442', 'Dizzy 12.3444598064389', 'Paranoid 12.3444598064389', 'Anxious 2.17262492593324']","1024 is a sativa-dominant hybrid bred in Spain by Medical Seeds Co. The breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a THC powerhouse with a sweet and spicy bouquet. Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. One specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense.","['Sweet', 'Tropical', 'Spicy/Herbal']","[100.0, 46.6216216216216, 15.5405405405405, 4.39189189189189, 2.19594594594595, 0.0]",22.5,0.3
13 Dawgs,4.0,10,"['Hungry 100', 'Relaxed 38.0952380952381', 'Tingly 28.5714285714286', 'Uplifted 28.5714285714286', 'Happy 28.5714285714286', 'Depression 100', 'Fatigue 100', 'Cramps 66.6666666666667', 'Headaches 66.6666666666667', 'Lack of Appetite 66.6666666666667', 'Dry Mouth 100', 'Dry Eyes 33.3333333333333', 'Headache 33.3333333333333', 'Anxious 33.3333333333333']","13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.","['Apricot', 'Citrus', 'Grapefruit']","[100.0, 53.3795493934142, 0.0, 19.9306759098787, 0.0, 0.0]",16.0,0.5
22,3.85714285714286,7,"['Energetic 100', 'Focused 100', 'Uplifted 69.5652173913043', 'Happy 67.3913043478261', 'Euphoric 52.1739130434783', 'Depression 100', 'Fatigue 66.6666666666667', 'Stress 66.6666666666667', 'Muscle Spasms 33.3333333333333', 'Nausea 33.3333333333333']","22 is a Jack Herer cross from Cali Connection. This extremely pungent fortification of Jack Herer yields fat buds packed with cannabinoids, making them prime starting material for extractors. Its aroma is a mixture of pine and floral notes with touches of spice on the finish. 22 benefits from a slightly longer flowering time, giving way to an abundant and flavorful yield just on the other side of 10 weeks.","['Pine', 'Sweet', 'Citrus']","[100.0, 42.9368029739777, 14.3122676579926, 0.0, 28.6245353159851, 0.0]",,0.54
24k Gold,4.581521739130429,184,"['Happy 100', 'Uplifted 95.0142721217888', 'Relaxed 92.2169362511893', 'Creative 66.8696479543292', 'Euphoric 53.8915318744053', 'Stress 100', 'Depression 80.8080808080808', 'Muscle Spasms 39.2727272727273', 'Lack of Appetite 38.989898989899', 'Headaches 30.3838383838384', 'Dry Mouth 100', 'Dry Eyes 75.1428571428571', 'Dizzy 40.9387755102041', 'Headache 24.4897959183673', 'Anxious 24.1632653061224']","Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users!","['Citrus', 'Orange', 'Sweet']","[100.0, 32.4046920821114, 9.3841642228739, 1.02639296187683, 3.66568914956012, 0.0]",21.0,0.6
3 Bears OG,4.42857142857143,7,"['Relaxed 100', 'Happy 83.8926174496644', 'Sleepy 67.7852348993289', 'Creative 67.7852348993289', 'Euphoric 64.4295302013423', 'Lack of Appetite 100', 'Pain 100', 'Stress 100', 'Insomnia 50', 'Muscle Spasms 50', 'Dry Mouth 100', 'Dry Eyes 9.43396226415094', 'Headache 9.43396226415094']","3 Bears OG by Mephisto Genetics is an autoflowering cross of Bear OG, Karma’s OG Cut, and Triangle Kush. This indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. Mephisto Genetics describes 3 Bears OG as a cornerstone to their artisanal collection, blending the best attributes of the fabled OG Kush with a compact, controllable growth structure. The 3 Bears OG has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep.","['Sweet', 'Pungent', 'Earthy']","[100.0, 9.51156812339332, 4.75578406169666, 4.75578406169666, 9.51156812339332, 0.0]",,0.93
3 Kings,4.41423948220065,312,"['Relaxed 100', 'Happy 94.2923710953964', 'Focused 71.4630262726549', 'Euphoric 64.3855664309465', 'Uplifted 56.6155809488128', 'Stress 100', 'Depression 72.5733784211763', 'Pain 63.3123218536416', 'Nausea 55.518322895702', 'Inflammation 44.7902087185722', 'Dry Mouth 100', 'Paranoid 60.3670441233893', 'Anxious 59.9433814916048', 'Dizzy 38.2663022256931', 'Dry Eyes 23.6294416243655']","The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings’ potency. Medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.","['Earthy', 'Pine', 'Woody']","[100.0, 55.7932263814617, 15.1515151515152, 2.85204991087344, 1.96078431372549, 2.49554367201426]",,0.29
303 OG,4.28947368421053,79,"['Relaxed 100', 'Uplifted 98.132183908046', 'Euphoric 82.7586206896552', 'Creative 74.7126436781609', 'Focused 26.867816091954', 'Pain 100', 'Headaches 94.4700460829493', 'Fatigue 90.7834101382488', 'Stress 52.5345622119816', 'Depression 50.0768049155146', 'Dry Mouth 100', 'Dry Eyes 15.4838709677419', 'Dizzy 10.3225806451613', 'Anxious 5.16129032258064']","The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.","['Earthy', 'Citrus', 'Sweet']","[100.0, 69.5378151260504, 22.0588235294118, 5.04201680672269, 5.04201680672269, 8.40336134453781]",21.0,0.6
3D CBD,4.6,20,"['Uplifted 100', 'Talkative 76.9230769230769', 'Relaxed 50.7692307692308', 'Happy 41.5384615384616', 'Focused 27.6923076923077', 'Pain 100', 'Stress 70', 'Inflammation 60', 'Muscle Spasms 60', 'Insomnia 40', 'Dry Mouth 100', 'Dry Eyes 50']","3D CBD from Snoop Dogg’s branded line of cannabis strains was crafted with patients in mind. With a THC:CBD ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. Consumers susceptible to THC-induced anxiety may also appreciate the sobering, relaxing balance CBD has to offer.","['Woody', 'Pine', 'Tea']","[100.0, 30.4589707927677, 8.6230876216968, 0.0, 0.0, 0.0]",,0.34
