Strain,Type,Pct,THC_max,THC_avg
Alien Technology,indica,100%,19.00%,13.00%
Arcata Trainwreck,sativa,70% Leaning,26.00%,21.00%
Aspen OG,sativa,60% Leaning,20.00%,15.00%
Blue Cookies,indica,60% Leaning,24.60%,19.00%
Blue Dream,hybrid,50%,26.50%,21.00%
Blue God,indica,90%,20.00%,15.00%
Blue Ivy,indica,60% Leaning,20.00%,13.00%
Chem's Sister,sativa,75% Leaning,27.50%,18.00%
Chemdawg 91,hybrid,50%,24.00%,16.50%
Girl Scout Cookies,indica,60% Leaning,28.00%,26.00%
Gorilla Glue #4,sativa,65% Leaning,32.00%,20.00%
Green Kush,hybrid,50%,24.00%,23.00%
Lemon Haze,sativa,70% Leaning,25.00%,18.00%
Lucky Charms,hybrid,50%,22.00%,19.00%
Monster Cookies,indica,80% Leaning,15.50%,10.00%
OG Kush,sativa,55%,27.00%,22.00%
Orange Creamsicle,sativa,60% Leaning,18.00%,13.00%
Pineapple Express,sativa,60% Leaning,26.50%,24.00%
Snow White,indica,65% Leaning,22.30%,16.70%
Sour Diesel,sativa,80% Leaning,24.90%,17.00%
Stardawg,sativa,60% Leaning,22.00%,16.00%
The Brotherhood,sativa,70% Leaning,28.00%,18.00%
$100 OG Kush,hybrid,50%,25.00%,22.00%
13 Dawgs,hybrid,50%,19.00%,16.00%
24K Gold,indica,60% Leaning,24.00%,15.00%
303 OG,indica,60% Leaning,26.00%,21.00%
3x Crazy,hybrid,50%,23.00%,20.00%
60 Day Wonder,indica,60% Leaning,14.00%,9.00%
707 Headband,indica,60% Leaning,24.00%,17.00%
8 Ball Kush,indica,100%,18.00%,17.00%
8 Miles High,sativa,60% Leaning,23.00%,15.00%
818 OG,indica,70% Leaning,20.00%,19.00%
9 Pound Hammer,indica,80% Leaning,23.00%,19.00%
98 White Widow,indica,70% Leaning,20.00%,20.00%
A-10,indica,90%,24.00%,18.00%
A-Dub,hybrid,50%,30.00%,25.00%
A-Train,hybrid,50%,20.00%,16.00%
